Jack White,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1
Billy Rafter,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,3
Clyde Minter,NULL,NULL,NULL,NULL,NULL,4,NULL,4,4
Joe Littlejohn,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,4
Mike Eagan,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,4
Sam Rice,4,NULL,NULL,NULL,NULL,NULL,4,NULL,4
Frank Christian,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,6
Frankie Schneider,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,6
Lloyd Moore,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,6
Roy Hall,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,6
Lee Petty,17,NULL,9,7,NULL,2,1,2,6.3
Ray Erickson,NULL,NULL,NULL,NULL,2,3,15,7,6.8
John Wright,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,7
Bill Blair,12,5,6,5,NULL,5,NULL,10,7.2
Bill Rexford,NULL,NULL,NULL,14,5,NULL,3,NULL,7.3
Red Byron,3,1,22,3,NULL,1,NULL,16,7.7
Al Keller,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,8
Al Wagoner,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,8
Archie Smith,6,NULL,NULL,NULL,NULL,10,NULL,NULL,8
Charles Muscatel,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,8
Jim Roper,1,NULL,15,NULL,NULL,NULL,NULL,NULL,8
Raymond Lewis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,8
Skip Lewis,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,9
Jimmy Thompson,10,9,NULL,NULL,NULL,NULL,NULL,NULL,9.5
Gober Sosebee,NULL,8,2,19,NULL,NULL,NULL,NULL,9.7
Bill Snowden,22,7,5,NULL,NULL,6,NULL,NULL,10
Buddy Helms,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,10
Don Rogala,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,10
Ellis Pearce,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,10
Jack Etheridge,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,10
Lou Volk,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,10
Bill Bennett,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,11
Clarence Burris,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,11
Slick Smith,8,13,NULL,NULL,NULL,13,NULL,13,11.8
Bob Flock,32,22,1,2,NULL,14,NULL,1,12
